Age32-40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age51-60, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,Hour1-20, United-States,0
Age32-40, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,Hour36-50, United-States,0
Age41-50, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States,0
Age51-60, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States,0
Age51-60, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,Hour51-70, South,1
Age32-40, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,Hour71-99, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,Hour51-70, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, Black, Male,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,Hour36-50, United-States,0
Age24-31, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,Hour1-20, United-States,0
Age41-50, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,Hour36-50, Puerto-Rico,0
Age17-23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,Hour21-35, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, ?,1
Age41-50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour21-35, United-States,0
Age51-60, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour36-50, United-States,1
Age51-60, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States,0
Age41-50, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Hour21-35, ?,0
Age41-50, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour51-70, Honduras,1
Age41-50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States,1
Age41-50, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico,0
Age32-40, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Puerto-Rico,0
Age41-50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age32-40, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male,Hour36-50, ?,0
Age41-50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,Hour51-70, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States,1
Age41-50, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age24-31, ?, Some-college, Never-married, ?, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,Hour21-35, United-States,0
Age24-31, Private, Bachelors, Separated, Sales, Own-child, Black, Female,Hour36-50, United-States,0
Age24-31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age17-23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, United-States,0
Age71-80, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,Hour36-50, Mexico,0
Age32-40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age61-70, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States,0
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age24-31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,Hour21-35, United-States,0
Age51-60, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Cuba,0
Age41-50, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,Hour36-50, United-States,1
Age51-60, Private, HS-grad, Divorced, Sales, Own-child, White, Female,Hour21-35, United-States,0
Age41-50, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, 9th, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,1
Age51-60, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,Hour21-35, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,Hour21-35, ?,0
Age32-40, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,Hour36-50, England,0
Age32-40, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,Hour36-50, United-States,0
Age71-80, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age17-23, ?, 10th, Never-married, ?, Own-child, White, Female,Hour21-35, United-States,0
Age24-31, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States,0
Age24-31, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,Hour36-50, United-States,0
Age32-40, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Canada,1
Age24-31, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,Hour21-35, United-States,0
Age32-40, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,Hour36-50, United-States,0
Age51-60, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States,1
Age51-60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,0
Age17-23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,0
Age24-31, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,Hour36-50, Germany,0
Age24-31, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,Hour21-35, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States,1
Age17-23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States,0
Age24-31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,1
Age32-40, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,Hour51-70, United-States,0
Age24-31, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour21-35, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,Hour36-50, United-States,0
Age32-40, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, Iran,1
Age41-50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States,0
Age24-31, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour21-35, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, White, Male,Hour1-20, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States,1
Age61-70, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Hour21-35, Mexico,0
Age41-50, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,1
Age61-70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,Hour21-35, United-States,0
Age17-23, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,Hour21-35, United-States,0
Age32-40, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,Hour21-35, United-States,0
Age61-70, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, ?, Some-college, Divorced, ?, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, Mexico,0
Age32-40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,Hour36-50, Philippines,0
Age17-23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Hour21-35, United-States,0
Age51-60, ?, HS-grad, Divorced, ?, Not-in-family, White, Male,Hour36-50, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age71-80, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,Hour51-70, United-States,0
Age41-50, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male,Hour36-50, United-States,0
Age61-70, ?, 1st-4th, Divorced, ?, Not-in-family, White, Female,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,Hour36-50, United-States,0
Age41-50, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, England,0
Age41-50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,Hour36-50, Mexico,0
Age32-40, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male,Hour36-50, United-States,0
Age17-23, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,Hour1-20, United-States,0
Age61-70, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,Hour21-35, United-States,0
Age17-23, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,0
Age41-50, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,Hour36-50, United-States,0
Age32-40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico,1
Age32-40, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, ?, Bachelors, Divorced, ?, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States,0
Age51-60, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, United-States,1
Age32-40, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,Hour21-35, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Hour21-35, United-States,0
Age17-23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male,Hour36-50, Mexico,0
Age32-40, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,Hour51-70, United-States,1
Age32-40, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Hour36-50, United-States,1
Age24-31, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, ?, HS-grad, Never-married, ?, Own-child, White, Male,Hour36-50, Italy,0
Age51-60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour21-35, United-States,0
Age17-23, Private, 11th, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,Hour51-70, United-States,0
Age51-60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,Hour21-35, United-States,1
Age17-23, Private, 11th, Never-married, Sales, Own-child, White, Female,Hour1-20, United-States,0
Age41-50, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States,0
Age51-60, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,Hour51-70, United-States,1
Age41-50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, Poland,0
Age41-50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,0
Age24-31, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age61-70, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male,Hour36-50, United-States,0
Age81-90, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,Hour1-20, United-States,0
Age51-60, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female,Hour21-35, United-States,0
Age17-23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States,0
Age51-60, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,Hour1-20, United-States,0
Age61-70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States,0
Age71-80, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,Hour1-20, Columbia,0
Age61-70, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female,Hour36-50, United-States,0
Age24-31, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,Hour51-70, United-States,1
Age51-60, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States,0
Age32-40, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, Iran,1
Age32-40, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age17-23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Hour1-20, United-States,0
Age24-31, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,0
Age17-23, ?, Some-college, Never-married, ?, Own-child, White, Male,Hour1-20, United-States,0
Age32-40, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour21-35, ?,0
Age51-60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Hour21-35, United-States,0
Age32-40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, ?,0
Age41-50, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States,1
Age41-50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,Hour36-50, United-States,0
Age51-60, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,Hour21-35, United-States,0
Age17-23, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,Hour36-50, United-States,0
Age51-60, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,Hour1-20, United-States,0
Age41-50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,Hour36-50, Cambodia,1
Age17-23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Hour36-50, United-States,0
