OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s EDIBLE
  Mushroom.txt
  Output

File/input/Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 7 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage/Lift, P-value, Antecedent Support, Strength
EDIBLE/field7 = FREE/field14 = SMOOTH/field9 = BROAD,3120,0.159341,0.00000,0.396388,0.935252
EDIBLE/field14 = SMOOTH/field6 = NONE,2932,0.157532,0.00000,0.357890,0.973440
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD,2984,0.156361,0.00000,0.371673,0.953964
EDIBLE/field14 = SMOOTH/field19 = ONE/field9 = BROAD,2944,0.154142,0.00000,0.366920,0.953368
EDIBLE/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2800,0.150719,0.00000,0.341255,0.974930
EDIBLE/field13 = SMOOTH/field9 = BROAD/field6 = NONE,2800,0.150719,0.00000,0.341255,0.974930
EDIBLE/field7 = FREE/field13 = SMOOTH/field6 = NONE,2788,0.149546,0.00000,0.340779,0.972106
EDIBLE/field13 = SMOOTH/field18 = WHITE/field6 = NONE,2788,0.149546,0.00000,0.340779,0.972106
EDIBLE/field7 = FREE/field14 = SMOOTH/field6 = NONE,2740,0.146884,0.00000,0.335076,0.971631
EDIBLE/field14 = SMOOTH/field18 = WHITE/field6 = NONE,2740,0.146884,0.00000,0.335076,0.971631
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD,2792,0.145713,0.00000,0.348859,0.950954
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field9 = BROAD,2792,0.145713,0.00000,0.348859,0.950954
EDIBLE/field13 = SMOOTH/field19 = ONE/field6 = NONE,2612,0.144348,0.00000,0.311312,0.996947
EDIBLE/field13 = SMOOTH/field8 = CLOSE/field9 = BROAD,2848,0.144256,0.00000,0.364068,0.929504
EDIBLE/field14 = SMOOTH/field19 = ONE/field6 = NONE,2564,0.141686,0.00000,0.305608,0.996890
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field9 = BROAD,2800,0.141594,0.00000,0.358365,0.928382
EDIBLE/field20 = PENDANT/field9 = BROAD,2960,0.141343,0.00000,0.394487,0.891566
EDIBLE/field7 = FREE/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2608,0.140071,0.00000,0.318441,0.973134
EDIBLE/field7 = FREE/field13 = SMOOTH/field9 = BROAD/field6 = NONE,2608,0.140071,0.00000,0.318441,0.973134
EDIBLE/field13 = SMOOTH/field18 = WHITE/field9 = BROAD/field6 = NONE,2608,0.140071,0.00000,0.318441,0.973134
EDIBLE/field14 = SMOOTH/field18 = WHITE/field9 = BROAD/field6 = NONE,2608,0.140071,0.00000,0.318441,0.973134
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field6 = NONE,2586,0.138344,0.00000,0.316778,0.969993
EDIBLE/field11 = TAPERING/field9 = BROAD,2752,0.134370,0.00000,0.361217,0.905263
EDIBLE/field14 = SMOOTH/field8 = CLOSE/field9 = BROAD,2656,0.133608,0.00000,0.341255,0.924791
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2472,0.132529,0.00000,0.302281,0.971698
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2536,0.131516,0.00000,0.318441,0.946269
EDIBLE/field13 = SMOOTH/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2608,0.130946,0.00000,0.335551,0.923513
EDIBLE/field7 = FREE/field13 = SMOOTH/field20 = PENDANT/field9 = BROAD,2608,0.130946,0.00000,0.335551,0.923513
EDIBLE/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2608,0.130946,0.00000,0.335551,0.923513
EDIBLE/field7 = FREE/field20 = PENDANT/field9 = BROAD,2768,0.130695,0.00000,0.371673,0.884910
EDIBLE/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2768,0.130695,0.00000,0.371673,0.884910
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field6 = NONE,2394,0.127696,0.00000,0.293964,0.967664
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field6 = NONE,2394,0.127696,0.00000,0.293964,0.967664
EDIBLE/field19 = ONE/field20 = PENDANT/field9 = BROAD,2624,0.127272,0.00000,0.346008,0.901099
EDIBLE/field20 = PENDANT/field8 = CLOSE/field9 = BROAD,2672,0.125371,0.00000,0.360266,0.881266
EDIBLE/field20 = PENDANT/field6 = NONE,2352,0.125367,0.00000,0.288973,0.967105
EDIBLE/field5 = BRUISES/field9 = BROAD,2656,0.124484,0.00000,0.358365,0.880637
EDIBLE/field9 = BROAD,4176,0.123618,0.00000,0.698669,0.710204
EDIBLE/field13 = SMOOTH/field20 = PENDANT,2992,0.123348,0.00000,0.435361,0.816594
EDIBLE/field20 = PENDANT,3152,0.123097,0.00000,0.471483,0.794355
EDIBLE/field5 = BRUISES/field14 = SMOOTH/field9 = BROAD,2464,0.122961,0.00000,0.318441,0.919403
EDIBLE/field13 = SMOOTH/field8 = CLOSE/field6 = NONE,2288,0.122325,0.00000,0.280418,0.969492
EDIBLE/field8 = CLOSE/field6 = NONE,2304,0.121184,0.00000,0.286122,0.956811
EDIBLE/field14 = SMOOTH/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2416,0.120299,0.00000,0.312738,0.917933
EDIBLE/field7 = FREE/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2416,0.120299,0.00000,0.312738,0.917933
EDIBLE/field14 = SMOOTH/field8 = CLOSE/field6 = NONE,2240,0.119663,0.00000,0.274715,0.968858
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field8 = CLOSE,2752,0.116628,0.00000,0.394487,0.828916
EDIBLE/field14 = SMOOTH/field20 = PENDANT/field6 = NONE,2192,0.116494,0.00000,0.269962,0.964789
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field6 = NONE,2192,0.116494,0.00000,0.269962,0.964789
EDIBLE/field8 = CLOSE/field9 = BROAD/field6 = NONE,2160,0.115226,0.00000,0.265209,0.967742
EDIBLE/field7 = FREE/field9 = BROAD,3984,0.114491,0.00000,0.673004,0.703390
EDIBLE/field5 = BRUISES/field20 = PENDANT/field9 = BROAD,2464,0.113836,0.00000,0.335551,0.872521
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT,2728,0.113270,0.00000,0.395437,0.819712
EDIBLE/field5 = BRUISES,2752,0.113080,0.00000,0.401141,0.815166
EDIBLE/field18 = WHITE/field9 = BROAD,3984,0.112971,0.00000,0.675856,0.700422
EDIBLE/field13 = SMOOTH/field18 = WHITE/field20 = PENDANT,2800,0.112700,0.00000,0.412548,0.806452
EDIBLE/field7 = FREE/field13 = SMOOTH/field20 = PENDANT,2800,0.112700,0.00000,0.412548,0.806452
EDIBLE/field14 = SMOOTH/field20 = PENDANT,2800,0.112700,0.00000,0.412548,0.806452
EDIBLE/field18 = WHITE/field20 = PENDANT,2960,0.112449,0.00000,0.448669,0.783898
EDIBLE/field7 = FREE/field20 = PENDANT,2960,0.112449,0.00000,0.448669,0.783898
