Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
40,field9 = Female & field3 = Some-college,field12 = <=50K,0.08618,2806,0.08013,2609,0.92979,0.0147,1.22472,4.13E-106,0.75919,24720
41,field4 = EduNum9 & field8 = Black,field12 = <=50K,0.03606,1174,0.03341,1088,0.92675,0.00604,1.2207,4.31E-12,0.75919,24720
42,field3 = HS-grad & field8 = Black,field12 = <=50K,0.03606,1174,0.03341,1088,0.92675,0.00604,1.2207,4.31E-12,0.75919,24720
43,field9 = Female & field7 = Not-in-family,field12 = <=50K,0.11901,3875,0.11029,3591,0.92671,0.01994,1.22066,2.17E-17,0.75919,24720
44,field3 = 12th,field12 = <=50K,0.0133,433,0.01228,400,0.92379,0.00219,1.21681,1.58E-19,0.75919,24720
45,field4 = EduNum8,field12 = <=50K,0.0133,433,0.01228,400,0.92379,0.00219,1.21681,1.58E-19,0.75919,24720
46,field3 = HS-grad & field1 = Age24-31,field12 = <=50K,0.06778,2207,0.0625,2035,0.92207,0.01104,1.21454,2.32E-17,0.75919,24720
47,field4 = EduNum9 & field1 = Age24-31,field12 = <=50K,0.06778,2207,0.0625,2035,0.92207,0.01104,1.21454,2.32E-17,0.75919,24720
48,field5 = Married-spouse-absent,field12 = <=50K,0.01284,418,0.01179,384,0.91866,0.00205,1.21005,1.14E-17,0.75919,24720
49,field5 = Widowed,field12 = <=50K,0.0305,993,0.02789,908,0.9144,0.00473,1.20444,5.55E-38,0.75919,24720
00004a,field8 = Other,field12 = <=50K,0.00832,271,0.00756,246,0.90775,0.00124,1.19568,2.23E-10,0.75919,24720
00004b,field2 = Private & field9 = Female,field12 = <=50K,0.23805,7751,0.21575,7025,0.90633,0.03503,1.19382,1.65E-16,0.75919,24720
00004c,field10 = Hour21-35,field12 = <=50K,0.12137,3952,0.10949,3565,0.90207,0.01734,1.18821,5.57E-131,0.75919,24720
00004d,field7 = Not-in-family,field12 = <=50K,0.25506,8305,0.22877,7449,0.89693,0.03513,1.18143,8.67E-288,0.75919,24720
00004e,field5 = Divorced,field12 = <=50K,0.13645,4443,0.12223,3980,0.89579,0.01864,1.17993,4.61E-135,0.75919,24720
00004f,field9 = Female,field12 = <=50K,0.33076,10770,0.29455,9591,0.89053,0.04344,1.173,0,0.75919,24720
50,field2 = Private & field6 = Adm-clerical,field12 = <=50K,0.08701,2833,0.07715,2512,0.88669,0.01109,1.16794,1.10E-10,0.75919,24720
51,field6 = Farming-fishing,field12 = <=50K,0.03053,994,0.027,879,0.88431,0.00382,1.1648,4.17E-24,0.75919,24720
52,field8 = Amer-Indian-Eskimo,field12 = <=50K,0.00955,311,0.00845,275,0.88424,0.00119,1.16472,1.81E-08,0.75919,24720
53,field8 = Black,field12 = <=50K,0.09594,3124,0.08406,2737,0.87612,0.01122,1.15402,5.02E-66,0.75919,24720
54,field1 = Age24-31,field12 = <=50K,0.2054,6688,0.17975,5853,0.87515,0.02382,1.15274,2.68E-152,0.75919,24720
55,field6 = Machine-op-inspct,field12 = <=50K,0.06148,2002,0.05381,1752,0.87512,0.00713,1.15271,5.92E-41,0.75919,24720
56,field6 = Adm-clerical,field12 = <=50K,0.11578,3770,0.10021,3263,0.86552,0.01231,1.14005,3.50E-66,0.75919,24720
57,field2 = Private & field3 = HS-grad,field12 = <=50K,0.23894,7780,0.20457,6661,0.85617,0.02317,1.12774,2.31E-13,0.75919,24720
58,field2 = Private & field4 = EduNum9,field12 = <=50K,0.23894,7780,0.20457,6661,0.85617,0.02317,1.12774,2.31E-13,0.75919,24720
59,field3 = HS-grad,field12 = <=50K,0.3225,10501,0.27106,8826,0.84049,0.02622,1.10709,1.37E-130,0.75919,24720
00005a,field4 = EduNum9,field12 = <=50K,0.3225,10501,0.27106,8826,0.84049,0.02622,1.10709,1.37E-130,0.75919,24720
00005b,field4 = EduNum10,field12 = <=50K,0.22392,7291,0.18132,5904,0.80977,0.01132,1.06662,9.12E-32,0.75919,24720
00005c,field3 = Some-college,field12 = <=50K,0.22392,7291,0.18132,5904,0.80977,0.01132,1.06662,9.12E-32,0.75919,24720
00005d,field2 = Private,field12 = <=50K,0.69703,22696,0.54461,17733,0.78133,0.01543,1.02916,8.76E-45,0.75919,24720
