OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s POISONOUS
  Mushroom.txt
  Output

File/input/Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 1 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage/Lift, P-value, Antecedent Support, Strength
POISONOUS/field11 = ENLARGING/field6 = FOUL,1296,2.142566,0.00000,0.153992,1.000000
POISONOUS/field2 = FLAT/field16 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field2 = FLAT/field21 = GREEN,36,2.142566,1.11959e-12,0.004278,1.000000
POISONOUS/field3 = SMOOTH/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field8 = CLOSE/field6 = CREOSOTE,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field7 = FREE/field19 = NONE,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field2 = FLAT/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field10 = PINK/field15 = BUFF,144,2.142566,5.33749e-49,0.017110,1.000000
POISONOUS/field2 = CONVEX/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field2 = FLAT/field6 = FOUL,984,2.142566,0.00000,0.116920,1.000000
POISONOUS/field3 = SMOOTH/field6 = CREOSOTE,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field7 = FREE/field6 = MUSTY,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field23 = GRASSES/field20 = LARGE,432,2.142566,1.70856e-149,0.051331,1.000000
POISONOUS/field2 = CONVEX/field15 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field4 = BROWN/field6 = FOUL,288,2.142566,1.45607e-98,0.034221,1.000000
POISONOUS/field3 = SCALY/field15 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field2 = CONVEX/field20 = LARGE,648,2.142566,1.23969e-228,0.076996,1.000000
POISONOUS/field10 = WHITE/field6 = PUNGENT,64,2.142566,5.01644e-22,0.007605,1.000000
POISONOUS/field10 = WHITE/field6 = FOUL,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field22 = SEVERAL/field20 = LARGE,648,2.142566,1.23969e-228,0.076996,1.000000
POISONOUS/field20 = PENDANT/field6 = FOUL,288,2.142566,1.45607e-98,0.034221,1.000000
POISONOUS/field10 = PINK/field6 = PUNGENT,64,2.142566,5.01644e-22,0.007605,1.000000
POISONOUS/field16 = WHITE/field6 = FOUL,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field23 = GRASSES/field6 = FOUL,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field23 = GRASSES/field21 = GREEN,36,2.142566,1.11959e-12,0.004278,1.000000
POISONOUS/field2 = FLAT/field20 = LARGE,648,2.142566,1.23969e-228,0.076996,1.000000
POISONOUS/field10 = PINK/field6 = CREOSOTE,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field10 = PINK/field16 = BUFF,144,2.142566,5.33749e-49,0.017110,1.000000
POISONOUS/field10 = PINK/field6 = FOUL,528,2.142566,3.01754e-184,0.062738,1.000000
POISONOUS/field22 = SCATTERED/field6 = CREOSOTE,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field10 = PINK/field20 = LARGE,432,2.142566,1.70856e-149,0.051331,1.000000
POISONOUS/field22 = SCATTERED/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field14 = SMOOTH/field6 = FOUL,432,2.142566,1.70856e-149,0.051331,1.000000
POISONOUS/field23 = GRASSES/field10 = GREEN,12,2.142566,0.000105899,0.001426,1.000000
POISONOUS/field5 = BRUISES/field6 = FOUL,288,2.142566,1.45607e-98,0.034221,1.000000
POISONOUS/field21 = BLACK/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field23 = GRASSES/field16 = BUFF,144,2.142566,5.33749e-49,0.017110,1.000000
POISONOUS/field4 = WHITE/field6 = CREOSOTE,64,2.142566,5.01644e-22,0.007605,1.000000
POISONOUS/field4 = WHITE/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field13 = SMOOTH/field6 = FOUL,432,2.142566,1.70856e-149,0.051331,1.000000
POISONOUS/field10 = BLACK/field6 = PUNGENT,64,2.142566,5.01644e-22,0.007605,1.000000
POISONOUS/field22 = SCATTERED/field6 = FOUL,144,2.142566,5.33749e-49,0.017110,1.000000
POISONOUS/field21 = BROWN/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field10 = BROWN/field6 = PUNGENT,64,2.142566,5.01644e-22,0.007605,1.000000
POISONOUS/field21 = BROWN/field6 = CREOSOTE,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field21 = BLACK/field6 = CREOSOTE,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field22 = SEVERAL/field6 = FOUL,1368,2.142566,0.00000,0.162548,1.000000
POISONOUS/field10 = BROWN/field6 = CREOSOTE,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field22 = SEVERAL/field6 = CREOSOTE,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field18 = YELLOW,8,2.142566,0.00224323,0.000951,1.000000
POISONOUS/field15 = YELLOW,8,2.142566,0.00224323,0.000951,1.000000
POISONOUS/field6 = SPICY,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field6 = FISHY,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field10 = BUFF,1728,2.142566,0.00000,0.205323,1.000000
POISONOUS/field2 = CONICAL,4,2.142566,0.0474143,0.000475,1.000000
POISONOUS/field3 = GROOVES,4,2.142566,0.0474143,0.000475,1.000000
POISONOUS/field21 = CHOCOLATE,1584,2.079550,0.00000,0.193916,0.970588
POISONOUS/field15 = BROWN,432,2.066046,1.70856e-149,0.053232,0.964286
POISONOUS/field7 = FREE/field13 = SILKY,2216,2.011833,0.00000,0.280418,0.938983

15 itemsets failed test for self sufficiency
POISONOUS/field20 = NONE,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field19 = NONE,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field16 = CINNAMON,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field15 = CINNAMON,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field6 = MUSTY,48,2.142566,1.11751e-16,0.005703,1.000000
POISONOUS/field16 = YELLOW,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field10 = GREEN,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field21 = GREEN,72,2.142566,1.04876e-24,0.008555,1.000000
POISONOUS/field20 = LARGE,1296,2.142566,0.00000,0.153992,1.000000
POISONOUS/field16 = BUFF,432,2.142566,1.70856e-149,0.051331,1.000000
POISONOUS/field15 = BUFF,432,2.142566,1.70856e-149,0.051331,1.000000
POISONOUS/field6 = FOUL,2160,2.142566,0.00000,0.256654,1.000000
POISONOUS/field6 = CREOSOTE,192,2.142566,2.25431e-65,0.022814,1.000000
POISONOUS/field6 = PUNGENT,256,2.142566,1.96237e-87,0.030418,1.000000
POISONOUS/field13 = SILKY,2240,2.013149,0.00000,0.283270,0.939597
